変換前,変換後
Cordless Hedge Trimmer,充電式ヘッジトリマ
Hedge Trimmer,ヘッジトリマ
Hot Power Washer,温水高圧洗浄機
High Pressure Washer,高圧洗浄機
Power Washer,高圧洗浄機
Cordless High Pressure Washer,充電式高圧洗浄機
Cordless Pressure Washer,充電式高圧洗浄機
Petrol High Pressure Washer,エンジン高圧洗浄機
Cordless Hole Puncher,充電式パンチャ
Hole Puncher,電動パンチャ
HUCK Rechargeable Battery Tool,充電式ハックボルトツール
Impact Driver,インパクトドライバ
Impulse driver,インパクトドライバ
Pneumatic Impact Driver,高圧エアインパクトドライバ
Cordless 4 Mode Impact Driver,充電式4モードインパクトドライバ
Cordless Angle Impact Driver,充電式アングルインパクトドライバ
Cordless Impact Driver,充電式インパクトドライバ
Cordless Oil-Impulse Driver,充電式ソフトインパクトドライバ
Cordless Oil-Pulse Driver,充電式ソフトインパクトドライバ
Pneumatic Impact Driver,エアインパクトドライバ
Impact Wrench,インパクトレンチ
Cordless Angle Impact Wrench,充電式アングルインパクトレンチ
Cordless Impact Wrench,充電式インパクトレンチ
Cordless Ratchet Wrench,充電式ラチェットレンチ
Cordless Angle Socket Driver,電池アングルドライバ
Cordless Inflator,充電式空気入れ
Jig Saw,ジグソー
Cordless Jig Saw,充電式ジグソー
Cordless Kettle,充電式ケトル
Laser Distance Measure,レーザー距離計
Ultrasonic Measure,レーザー距離計
Cross Line Laser,レーザー墨出し器
Laser Level,レーザー墨出し器
Line-Point Laser,レーザー墨出し器
Rechargeable Green 4-point Cross Line Laser,充電式4ポイント・クロスラインレーザー
Rechargeable Red 4-point Cross Line Laser,充電式4ポイント・クロスラインレーザー
Rechargeable Red Cross Line Laser,充電式クロスラインレーザー
Rechargeable Green Cross Line Laser,充電式レーザー墨出し器
Rechargeable Green Multi Line Laser,充電式レーザー墨出し器
Rechargeable Red Multi Line Laser,充電式レーザー墨出し器
Multi Line Laser,充電式屋内・屋外兼用墨出し器
Rechargeable Green Multi Line Laser,充電式屋内・屋外兼用墨出し器
Laser Level,充電式回転レーザー
Rechargeable Rotary Laser,充電式回転レーザー
Laser Level,回転レーザー
Laser Level,屋内・屋外兼用墨出し器
Multi Line Laser,屋内・屋外兼用墨出し器
Petrol Lawn Mower,エンジン芝刈機
Petrol Mulching Mower,エンジン芝刈機
Petrol Slope Mower,エンジン芝刈機
Cordless Lawn Mower,充電式芝刈機
Battery Powered Lawn Mower,充電式芝刈機
Lawn Mower,充電式芝刈機
Electric Lawn Mower,電気芝刈機
Lawn Mower,電気芝刈機
Lawn Tractor,乗用芝刈機
Log Splitter,薪割機
Metal Cutter,チップソーカッタ
Tipped Saw Cutter,チップソーカッタ
Metal Cutting Saw,チップソー切断機
Cordless Metal Cutter,充電式チップソーカッタ
Cordless Steel Rod Cutter,充電式チップソーカッタ
Cordless Portable Cut-off,充電式切断機
Cut-Off,切断機
Portable Cut-off,切断機
Air Plasma Cutter,切断機
Angle Processing Machine,切断機
Metal Cutting Saw,充電式チップソー切断機
Cordless Microwave,充電式電子レンジ
Slide Compound Miter Saw,スライドマルノコ
Slide Compound Saw,スライドマルノコ
Table Top Miter Saw,テーブルマイタソー
Flip Over Saw,フリップオーバーソー
Table Saw,マルノコ盤
Cordless Slide Compound Miter Saw,充電式スライドマルノコ
Cordless Compound Miter Saw,充電式卓上マルノコ
Cordless Miter Saw,充電式卓上マルノコ
Compound Miter Saw,卓上マルノコ
Miter Saw,卓上マルノコ
Mixer,カクハン機
Power Mixer,カクハン機
Cordless Mixer,充電式カクハン機
Motor-Assisted Bicycle,電動アシスト自転車
Cordless Multi Cutter,充電式マルチカッタ
Multi Function Power Head,スプリット式エンジン刈払機
Cordless Multi Function Power Head,充電式スプリットモータ
Multi Tool,マルチツール
Cordless Multi Tool,充電式マルチツール
Air Nailer,エア釘打
Construction Coil Nailer,エア釘打
